asset_id,path,title,creator_or_rightsholder,source_url,license_or_reuse_basis,license_url,changes,alt_text,caption,placement,date_checked,review_status
VIS-MEME-006,assets/original-memes/small-victory.jpg,The restore worked,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Original riff on a familiar small-victory meme structure; no existing template copied,A graduate researcher gives a small triumphant fist pump beside a laptop showing a simple check mark.,The backup restored. A sentence nobody regrets testing.,checklists/backup-restore.qmd,2026-08-30,approved by project lead
VIS-MEME-007,assets/original-memes/plan-versus-reality.jpg,The plan meets reality,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Original expectation-versus-reality structure; no existing template copied,"Two panels show the same graduate researcher: first arranging a simple linear sequence of cards, then navigating a looping network of revisions and returned folders.",The project plan was a straight line. The project had other ideas.,chapters/part-01/03-provisional-plan.qmd,2026-08-30,approved by project lead
VIS-MEME-008,assets/original-memes/printer-revolt.jpg,The submission-day printer revolt,The Handbook for the Recently Enrolled project; human editorial direction by Haresh Suppiah; generated with OpenAI image tools,,Project-created AI-assisted image; CC BY 4.0 where copyright subsists,https://creativecommons.org/licenses/by/4.0/,Original deadline-failure scene; no existing template or film still copied,A graduate researcher holding a bound thesis watches an office printer eject an absurd looping cascade of blank paper.,The thesis is ready to submit. The printer has entered its experimental phase.,checklists/before-thesis-submission.qmd,2026-08-30,approved by project lead
VIS-XKCD-14,assets/xkcd/14-copyright.jpg,xkcd #14: Copyright,Randall Munroe / xkcd,https://xkcd.com/14/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Copyright; a full transcript is available at the linked original,"xkcd #14, Copyright, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-59,assets/xkcd/59-graduation.jpg,xkcd #59: Graduation,Randall Munroe / xkcd,https://xkcd.com/59/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Graduation; a full transcript is available at the linked original,"xkcd #59, Graduation, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-225,assets/xkcd/225-open-source.png,xkcd #225: Open Source,Randall Munroe / xkcd,https://xkcd.com/225/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Open Source; a full transcript is available at the linked original,"xkcd #225, Open Source, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-263,assets/xkcd/263-certainty.png,xkcd #263: Certainty,Randall Munroe / xkcd,https://xkcd.com/263/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Certainty; a full transcript is available at the linked original,"xkcd #263, Certainty, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-303,assets/xkcd/303-compiling.png,xkcd #303: Compiling,Randall Munroe / xkcd,https://xkcd.com/303/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Compiling; a full transcript is available at the linked original,"xkcd #303, Compiling, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-349,assets/xkcd/349-success.png,xkcd #349: Success,Randall Munroe / xkcd,https://xkcd.com/349/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Success; a full transcript is available at the linked original,"xkcd #349, Success, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-371,assets/xkcd/371-compiler-complaint.png,xkcd #371: Compiler Complaint,Randall Munroe / xkcd,https://xkcd.com/371/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Compiler Complaint; a full transcript is available at the linked original,"xkcd #371, Compiler Complaint, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-386,assets/xkcd/386-duty-calls.png,xkcd #386: Duty Calls,Randall Munroe / xkcd,https://xkcd.com/386/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Duty Calls; a full transcript is available at the linked original,"xkcd #386, Duty Calls, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-397,assets/xkcd/397-unscientific.png,xkcd #397: Unscientific,Randall Munroe / xkcd,https://xkcd.com/397/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Unscientific; a full transcript is available at the linked original,"xkcd #397, Unscientific, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-451,assets/xkcd/451-impostor.png,xkcd #451: Impostor,Randall Munroe / xkcd,https://xkcd.com/451/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Impostor; a full transcript is available at the linked original,"xkcd #451, Impostor, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-481,assets/xkcd/481-listen-to-yourself.png,xkcd #481: Listen to Yourself,Randall Munroe / xkcd,https://xkcd.com/481/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Listen to Yourself; a full transcript is available at the linked original,"xkcd #481, Listen to Yourself, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-552,assets/xkcd/552-correlation.png,xkcd #552: Correlation,Randall Munroe / xkcd,https://xkcd.com/552/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Correlation; a full transcript is available at the linked original,"xkcd #552, Correlation, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-722,assets/xkcd/722-computer-problems.png,xkcd #722: Computer Problems,Randall Munroe / xkcd,https://xkcd.com/722/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Computer Problems; a full transcript is available at the linked original,"xkcd #722, Computer Problems, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-828,assets/xkcd/828-positive-attitude.png,xkcd #828: Positive Attitude,Randall Munroe / xkcd,https://xkcd.com/828/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Positive Attitude; a full transcript is available at the linked original,"xkcd #828, Positive Attitude, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-882,assets/xkcd/882-significant.png,xkcd #882: Significant,Randall Munroe / xkcd,https://xkcd.com/882/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Significant; a full transcript is available at the linked original,"xkcd #882, Significant, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-910,assets/xkcd/910-permanence.png,xkcd #910: Permanence,Randall Munroe / xkcd,https://xkcd.com/910/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Permanence; a full transcript is available at the linked original,"xkcd #910, Permanence, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-974,assets/xkcd/974-the-general-problem.png,xkcd #974: The General Problem,Randall Munroe / xkcd,https://xkcd.com/974/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled The General Problem; a full transcript is available at the linked original,"xkcd #974, The General Problem, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-979,assets/xkcd/979-wisdom-of-the-ancients.png,xkcd #979: Wisdom of the Ancients,Randall Munroe / xkcd,https://xkcd.com/979/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Wisdom of the Ancients; a full transcript is available at the linked original,"xkcd #979, Wisdom of the Ancients, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1028,assets/xkcd/1028-communication.png,xkcd #1028: Communication,Randall Munroe / xkcd,https://xkcd.com/1028/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Communication; a full transcript is available at the linked original,"xkcd #1028, Communication, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1052,assets/xkcd/1052-every-major-s-terrible.png,xkcd #1052: Every Major's Terrible,Randall Munroe / xkcd,https://xkcd.com/1052/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Every Major's Terrible; a full transcript is available at the linked original,"xkcd #1052, Every Major's Terrible, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1060,assets/xkcd/1060-crowdsourcing.png,xkcd #1060: Crowdsourcing,Randall Munroe / xkcd,https://xkcd.com/1060/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Crowdsourcing; a full transcript is available at the linked original,"xkcd #1060, Crowdsourcing, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1205,assets/xkcd/1205-is-it-worth-the-time.png,xkcd #1205: Is It Worth the Time?,Randall Munroe / xkcd,https://xkcd.com/1205/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Is It Worth the Time?; a full transcript is available at the linked original,"xkcd #1205, Is It Worth the Time?, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1282,assets/xkcd/1282-monty-hall.png,xkcd #1282: Monty Hall,Randall Munroe / xkcd,https://xkcd.com/1282/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Monty Hall; a full transcript is available at the linked original,"xkcd #1282, Monty Hall, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1319,assets/xkcd/1319-automation.png,xkcd #1319: Automation,Randall Munroe / xkcd,https://xkcd.com/1319/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Automation; a full transcript is available at the linked original,"xkcd #1319, Automation, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1425,assets/xkcd/1425-tasks.png,xkcd #1425: Tasks,Randall Munroe / xkcd,https://xkcd.com/1425/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Tasks; a full transcript is available at the linked original,"xkcd #1425, Tasks, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1447,assets/xkcd/1447-meta-analysis.png,xkcd #1447: Meta-Analysis,Randall Munroe / xkcd,https://xkcd.com/1447/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Meta-Analysis; a full transcript is available at the linked original,"xkcd #1447, Meta-Analysis, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1478,assets/xkcd/1478-p-values.png,xkcd #1478: P-Values,Randall Munroe / xkcd,https://xkcd.com/1478/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled P-Values; a full transcript is available at the linked original,"xkcd #1478, P-Values, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1597,assets/xkcd/1597-git.png,xkcd #1597: Git,Randall Munroe / xkcd,https://xkcd.com/1597/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Git; a full transcript is available at the linked original,"xkcd #1597, Git, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1654,assets/xkcd/1654-universal-install-script.png,xkcd #1654: Universal Install Script,Randall Munroe / xkcd,https://xkcd.com/1654/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Universal Install Script; a full transcript is available at the linked original,"xkcd #1654, Universal Install Script, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1691,assets/xkcd/1691-optimization.png,xkcd #1691: Optimization,Randall Munroe / xkcd,https://xkcd.com/1691/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Optimization; a full transcript is available at the linked original,"xkcd #1691, Optimization, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1782,assets/xkcd/1782-team-chat.png,xkcd #1782: Team Chat,Randall Munroe / xkcd,https://xkcd.com/1782/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Team Chat; a full transcript is available at the linked original,"xkcd #1782, Team Chat, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1838,assets/xkcd/1838-machine-learning.png,xkcd #1838: Machine Learning,Randall Munroe / xkcd,https://xkcd.com/1838/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Machine Learning; a full transcript is available at the linked original,"xkcd #1838, Machine Learning, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-1860,assets/xkcd/1860-communicating.png,xkcd #1860: Communicating,Randall Munroe / xkcd,https://xkcd.com/1860/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Communicating; a full transcript is available at the linked original,"xkcd #1860, Communicating, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2025,assets/xkcd/2025-peer-review.png,xkcd #2025: Peer Review,Randall Munroe / xkcd,https://xkcd.com/2025/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Peer Review; a full transcript is available at the linked original,"xkcd #2025, Peer Review, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2086,assets/xkcd/2086-history-department.png,xkcd #2086: History Department,Randall Munroe / xkcd,https://xkcd.com/2086/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled History Department; a full transcript is available at the linked original,"xkcd #2086, History Department, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2173,assets/xkcd/2173-trained-a-neural-net.png,xkcd #2173: Trained a Neural Net,Randall Munroe / xkcd,https://xkcd.com/2173/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Trained a Neural Net; a full transcript is available at the linked original,"xkcd #2173, Trained a Neural Net, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2304,assets/xkcd/2304-preprint.png,xkcd #2304: Preprint,Randall Munroe / xkcd,https://xkcd.com/2304/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Preprint; a full transcript is available at the linked original,"xkcd #2304, Preprint, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2347,assets/xkcd/2347-dependency.png,xkcd #2347: Dependency,Randall Munroe / xkcd,https://xkcd.com/2347/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Dependency; a full transcript is available at the linked original,"xkcd #2347, Dependency, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2368,assets/xkcd/2368-bigger-problem.png,xkcd #2368: Bigger Problem,Randall Munroe / xkcd,https://xkcd.com/2368/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Bigger Problem; a full transcript is available at the linked original,"xkcd #2368, Bigger Problem, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2456,assets/xkcd/2456-types-of-scientific-paper.png,xkcd #2456: Types of Scientific Paper,Randall Munroe / xkcd,https://xkcd.com/2456/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Types of Scientific Paper; a full transcript is available at the linked original,"xkcd #2456, Types of Scientific Paper, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
VIS-XKCD-2582,assets/xkcd/2582-data-trap.png,xkcd #2582: Data Trap,Randall Munroe / xkcd,https://xkcd.com/2582/,Creative Commons Attribution-NonCommercial 2.5; excluded from the handbook CC BY 4.0 licence,https://creativecommons.org/licenses/by-nc/2.5/,Resized responsively by the website; otherwise unmodified,xkcd comic titled Data Trap; a full transcript is available at the linked original,"xkcd #2582, Data Trap, by Randall Munroe",See research/page-visuals.csv,2026-08-30,approved for non-commercial attributed use
